author,month,rank,review,title,year
by Charles Duhigg,12.0,7.0,,THE POWER OF HABIT,2016.0
by Phil Knight,12.0,8.0,,SHOE DOG,2016.0
by Malcolm Gladwell,12.0,9.0,https://www.nytimes.com/2008/11/18/books/18kaku.html,OUTLIERS,2016.0
by Simon Sinek,12.0,10.0,,TOGETHER IS BETTER,2016.0
by Chip Gaines and Joanna Gaines with Mark Dagostino,1.0,1.0,,THE MAGNOLIA STORY,2017.0
by Michael Lewis,1.0,2.0,,THE UNDOING PROJECT,2017.0
by Tim Ferriss,1.0,3.0,,TOOLS OF TITANS,2017.0
by Thomas L. Friedman,1.0,4.0,https://www.nytimes.com/2016/11/22/books/review/thomas-friedman-thank-you-for-being-late.html,THANK YOU FOR BEING LATE,2017.0
by Phil Knight,1.0,5.0,,SHOE DOG,2017.0
by Daniel Kahneman,1.0,6.0,https://www.nytimes.com/2011/11/27/books/review/thinking-fast-and-slow-by-daniel-kahneman-book-review.html,"THINKING, FAST AND SLOW",2017.0
by Angela Duckworth,1.0,7.0,https://www.nytimes.com/2016/05/08/books/review/grit-by-angela-duckworth.html,GRIT,2017.0
by Malcolm Gladwell,1.0,8.0,https://www.nytimes.com/2008/11/18/books/18kaku.html,OUTLIERS,2017.0
by Bill Burnett and Dave Evans,1.0,9.0,,DESIGNING YOUR LIFE,2017.0
by Charles Duhigg,1.0,10.0,,THE POWER OF HABIT,2017.0
by Tim Ferriss,2.0,1.0,,TOOLS OF TITANS,2017.0
by Chip Gaines and Joanna Gaines with Mark Dagostino,2.0,2.0,,THE MAGNOLIA STORY,2017.0
by Michael Lewis,2.0,3.0,,THE UNDOING PROJECT,2017.0
by Thomas L. Friedman,2.0,4.0,https://www.nytimes.com/2016/11/22/books/review/thomas-friedman-thank-you-for-being-late.html,THANK YOU FOR BEING LATE,2017.0
by Daniel Kahneman,2.0,5.0,https://www.nytimes.com/2011/11/27/books/review/thinking-fast-and-slow-by-daniel-kahneman-book-review.html,"THINKING, FAST AND SLOW",2017.0
by Phil Knight,2.0,6.0,,SHOE DOG,2017.0
